Dvoyna s peresecheniyami bez probelov
 242;1464;3844;1086;3118;1296;0;1135;3591;1062;907;4528;8149;4008;5130;1047;2597;2847;5694;4747;591;178;1402;300;1173;804;347;0;0;0;277;1119;1981;
 691;15;42;26;12;1631;0;17;12;1066;0;98;837;34;518;2126;26;1396;198;18;795;0;43;3;8;17;172;87;2460;33;68;4;245;
 5234;187;464;234;510;4632;0;58;486;2718;1;792;758;318;1809;5667;907;1137;2794;665;729;29;91;54;184;923;11;4;2364;198;166;12;481;
 1034;36;65;30;1083;611;0;2;15;1044;0;171;1260;48;479;5777;75;1161;69;29;518;1;23;1;26;9;0;0;0;1;13;0;10;
 3847;93;1100;81;93;4186;0;424;75;2140;0;383;632;116;1916;3264;289;867;503;129;1303;10;54;380;57;56;1;9;718;409;19;73;448;
 281;1566;3026;2926;3272;1486;0;834;1873;903;1923;2196;5009;4884;8245;1303;2663;6872;6246;6153;555;116;671;404;1441;739;688;0;0;0;248;142;383;
 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 916;41;11;19;844;2765;0;17;18;1293;0;89;2;6;771;322;19;52;18;12;206;0;1;1;22;2;0;0;0;27;4;0;5;
 4695;189;993;355;965;526;0;61;87;467;0;211;324;446;1369;794;168;382;176;110;496;6;14;15;37;17;2;11;355;212;20;1;149;
 472;1223;3587;880;2025;2481;0;477;2543;1805;1064;3102;5823;3046;5206;1793;2465;1778;4627;3832;439;143;1735;821;1574;653;214;0;0;0;214;293;1728;
 111;255;526;244;427;86;0;95;259;426;1;894;188;407;940;377;713;325;1103;663;140;58;79;67;319;176;9;0;0;0;79;4;120;
 6670;147;578;88;146;616;0;86;124;3461;0;259;760;144;684;8493;353;2059;546;877;1692;22;29;100;107;43;1;0;0;4;63;10;59;
 5950;191;645;273;260;4883;0;282;183;7374;0;844;442;372;1038;6063;668;161;2142;310;1359;15;66;8;445;32;10;0;806;4134;74;836;1631;
 2595;263;586;216;339;4247;0;59;159;3451;1;563;464;461;2194;4041;999;251;862;280;1607;44;57;42;236;49;6;0;1164;118;90;11;597;
 9509;137;306;227;611;8252;0;45;162;7989;0;459;28;87;3213;9069;384;123;1208;1270;2892;104;39;365;231;27;63;8;3775;866;18;154;1534;
 184;3805;8005;4488;4979;2098;0;1809;1922;1552;3682;3133;6461;5732;7741;1356;3050;5573;7734;6841;469;249;640;227;1956;785;277;0;0;0;461;222;1099;
 1684;2;14;3;8;2261;0;0;5;986;0;82;1268;7;159;9041;94;5780;43;114;835;7;2;9;22;8;1;0;417;58;0;14;309;
 7976;88;616;203;299;6008;0;307;61;4323;1;424;116;480;1114;7580;218;110;338;994;2624;24;258;71;105;211;33;0;1480;383;19;103;878;
 2135;146;1667;100;285;3349;0;69;70;1755;0;3715;2564;879;1328;2974;2006;369;1407;10157;1131;114;212;50;338;99;1;12;319;3020;59;187;4062;
 5617;240;2674;118;311;4814;0;106;109;4505;0;1018;250;408;1702;10681;669;3521;1774;293;1541;50;57;77;206;50;14;3;1530;4460;102;50;602;
 157;904;944;906;1635;267;0;1138;467;517;54;1208;2387;1069;991;290;1156;705;1746;1661;107;45;420;35;897;522;326;0;0;0;90;1100;178;
 243;1;3;2;1;217;0;0;1;279;0;2;61;7;3;393;1;102;5;18;65;8;1;0;1;2;0;0;18;0;0;1;2;
 422;117;544;113;181;221;0;30;83;725;0;282;255;264;589;1956;496;328;451;196;175;37;31;17;64;39;0;1;0;3;31;2;52;
 817;8;118;9;28;914;0;3;7;625;0;45;7;16;29;215;37;10;27;12;123;2;81;4;7;2;0;0;214;0;2;0;13;
 1703;3;14;4;7;3299;0;2;7;1369;0;309;34;5;934;73;12;6;12;2270;415;0;2;0;7;55;0;0;0;223;4;0;0;
 693;13;58;2;8;1880;0;0;0;1561;0;383;455;16;246;175;29;219;13;105;250;0;1;12;0;4;0;0;0;392;1;5;3;
 438;1;1;0;0;1526;0;0;0;855;0;0;1;0;53;9;1;5;1;0;178;1;0;0;0;1;0;0;0;41;0;0;0;
 0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;70;
 72;438;1360;197;330;1579;0;65;229;384;1409;355;1636;1256;577;280;651;431;1142;797;165;8;1339;43;215;465;12;0;0;0;56;1;128;
 109;366;1019;180;498;504;0;51;408;589;1;1492;196;614;2098;567;898;213;1721;611;197;102;55;118;358;609;33;0;0;0;149;424;402;
 0;6;28;5;35;0;0;0;11;2;19;174;72;43;74;1;31;47;31;1856;0;14;22;0;0;15;0;0;0;0;6;0;0;
 36;281;206;96;418;52;0;83;85;157;7;229;57;162;238;136;240;166;410;760;26;18;19;27;309;50;517;0;0;0;46;46;74;
 132;472;1573;480;946;298;0;228;601;660;21;781;1001;717;1767;667;1318;449;1538;1772;299;32;261;124;424;60;374;0;0;0;113;135;208;
Dvoyna s peresecheniyami s probelami
 32;892;2552;616;2505;915;0;1061;3170;153;905;3492;7818;3273;3683;69;925;2392;4245;4105;279;113;1290;265;848;675;338;0;0;0;20;1090;1552;15392;
 685;12;26;17;10;1624;0;17;6;1028;0;88;834;23;501;2101;2;1392;176;9;783;0;40;3;3;15;171;87;2460;33;13;4;243;292;
 5139;16;131;22;213;4523;0;3;377;2477;0;245;639;106;1337;5365;241;944;2084;262;616;0;51;15;45;873;9;4;2364;198;4;4;418;5892;
 1028;0;5;17;1039;597;0;0;3;1001;0;144;1255;17;404;5719;2;1138;15;13;503;0;16;0;19;6;0;0;0;1;3;0;1;645;
 3824;42;952;21;52;4158;0;422;26;2066;0;278;587;67;1728;3180;89;825;350;78;1251;2;47;375;27;47;0;9;718;409;2;71;422;1550;
 149;927;1715;2549;2543;1220;0;698;1315;118;1923;1377;4727;4087;6949;279;821;6445;4762;5461;97;38;521;363;974;633;674;0;0;0;5;133;167;15378;
 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 914;32;0;17;837;2760;0;17;12;1284;0;84;2;2;743;307;3;48;3;3;204;0;0;0;21;0;0;0;0;27;0;0;2;161;
 4688;145;872;305;883;501;0;49;54;421;0;121;306;374;1210;692;17;350;10;14;472;0;1;10;10;2;0;11;355;212;0;0;132;1436;
 240;622;1945;493;1260;2136;0;364;2030;793;1063;2108;5513;2330;3528;627;507;1317;2949;3043;27;73;1602;770;1195;507;206;0;0;0;27;284;1477;17007;
 8;2;12;1;129;14;0;0;11;11;0;337;20;41;506;43;17;22;404;408;0;12;13;28;185;95;1;0;0;0;0;0;24;6747;
 6626;5;285;6;8;555;0;34;39;3210;0;37;702;3;330;8303;8;1960;236;708;1610;5;3;86;1;8;0;0;0;4;12;1;3;3433;
 5893;32;14;94;44;4642;0;258;42;7043;0;375;384;82;448;5584;83;2;1527;99;1205;0;2;0;126;4;7;0;806;4134;19;834;1464;6250;
