Dvoyna bez peresecheniy bez probelov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;;
 ê;0,009347;0,000401;0,000628;0,00009;0,000243;0,000717;0;0,000232;0,000109;0,003687;0;0,000335;0,00051;0,000203;0,001329;0,00978;0,000394;0,001897;0,001551;0,000733;0,001847;0,000019;0,000089;0,000031;0,000184;0,000028;0,000004;0;0;0;0,000122;0;0,000131;#Í/Ä;
 ë;0,009366;0,000215;0,000828;0,000282;0,000282;0,006761;0;0,000512;0,000154;0,007015;0;0,000875;0,000628;0,000207;0,001013;0,007979;0,000612;0,000147;0,002303;0,000404;0,001634;0,000024;0,000034;0,000014;0,000658;0,000046;0,000005;0;0,001177;0,004215;0,000154;0,00118;0,00216;#Í/Ä;
 ì;0,002988;0,000273;0,000693;0,000286;0,000409;0,003845;0;0,000132;0,00018;0,003884;0;0,000544;0,000316;0,000301;0,002282;0,004521;0,000815;0,00027;0,000941;0,000405;0,003383;0,000019;0,000081;0,000016;0,000501;0,000074;0,000004;0;0,00111;0,000089;0,00008;0,000007;0,000601;#Í/Ä;
 í;0;0,000325;0,000624;0,000197;0,00099;0,011836;0;0,000068;0,000247;0,009468;0;0,000506;0,000093;0,000138;0,00418;0,011816;0,000698;0,000212;0,001796;0,000836;0,00331;0,000041;0,000097;0,000267;0,000452;0,000027;0,000167;0;0,003423;0,001449;0,00005;0,000181;0,002217;#Í/Ä;
 î;0,000296;0,005418;0,011161;0,005889;0,006111;0,003761;0;0,002779;0,001805;0,002317;0,003622;0,003139;0,007026;0,006507;0;0,002843;0,003624;0,007019;0,009561;0,009402;0,000761;0,000217;0,000622;0,000144;0,003301;0,001567;0,000219;0;0;0;0,000539;0,000907;0,001173;6;
 ï;0,001408;0,000001;0,000007;0;0,000004;0,00246;0;0;0,000004;0,000953;0;0,000076;0,00066;0;0,000089;0,009946;0,000034;0,007314;0,00002;0,000059;0,000655;0,000001;0;0,000012;0,000043;0,000019;0;0;0,000312;0,000042;0,000001;0,000001;0,000405;#Í/Ä;
 ð;0,008159;0,000259;0,000451;0,000414;0,000429;0,006186;0;0,000374;0,000054;0,005383;0;0,000695;0,000063;0,000178;0,00088;0,008202;0,000161;0,00007;0,000313;0,000617;0,002795;0,000015;0,00014;0,000043;0,000086;0,000251;0,000034;0;0,001478;0,000988;0,000004;0,000131;0,001084;#Í/Ä;
 ñ;0,002101;0,000193;0,002391;0,000115;0,000562;0,005269;0;0,000231;0,000089;0,001767;0;0,006005;0,002974;0,001084;0,001586;0,003;0,002249;0,000225;0,000932;0;0,000779;0,00002;0,00017;0,000063;0,000572;0,000077;0,000003;0,000023;0,000385;0,00352;0,000062;0,000176;0,003729;#Í/Ä;
 ò;0,006117;0,000315;0,003439;0,000088;0,000382;0,006043;0;0,000096;0,000112;0,004814;0;0,000886;0,000413;0,000244;0,001781;0;0,000468;0,003242;0,001573;0,000351;0,001489;0,000046;0,000055;0,000073;0,000491;0,000015;0,00002;0,000038;0,001847;0,007384;0,000134;0,000057;0,000734;#Í/Ä;
 ó;0,000227;0,000865;0,001933;0,001202;0,002224;0,000421;0;0,002081;0,000504;0,000756;0,000146;0,001404;0,001704;0,001623;0,00125;0,000516;0,001198;0,000748;0,001955;0,001715;0,000161;0,000042;0,00039;0,000018;0,001441;0,00084;0,000267;0;0;0;0,000103;0,001164;0,000278;#Í/Ä;
